CustomerID,Recommendation,category
12364.0,"{'22946': 0.15061880828219446, '72817': 0.15061880828219446, '22478': 0.1506160190191773, '22687': 0.14888750009563953, '84352': 0.14638501094227996, '85199L': 0.14638501094227996, '22339': 0.14567140814584595, '22297': 0.1449377260910507, '21724': 0.1438389904456152, '72741': 0.14322297480788657, '21231': 0.14175727442134115, '22420': 0.14149998919097345, '84077': 0.13976260518555003, '84596B': 0.13963259188111016, '84510C': 0.13801311186847084, '21025': 0.1369306393762915, '22244': 0.13679711361135388, '21382': 0.13623731522826651, '21172': 0.1358732440973515, '22469': 0.13459547551454137}",need attention
12365.0,"{'21084': 0.15322617553657475, '21700': 0.15322617553657475, '21447': 0.15306919373065675, '22407': 0.1522773975253762, '23026': 0.1522773975253762, '23149': 0.1522773975253762, '23159': 0.15190124858317955, '23148': 0.15091165336763496, '23031': 0.14896989288278098, '21164': 0.14854475354139654, '22032': 0.14598929061844593, '23184': 0.14535470484905738, '84031A': 0.13511320473331348, '20781': 0.13130643285972254, '21307': 0.13130643285972254, '21849': 0.12379689211803457, '23064': 0.12379689211803457, '21407': 0.12297974198582046, '82482': 0.12295300435272137, '72741': 0.12017278061240777}",need attention
12367.0,"{'22037': 0.22090758548055192, '22706': 0.2206389394058766, '22035': 0.21684543705982776, '22418': 0.21564848898237066, '21497': 0.21550272794507866, '22331': 0.20671410355083852, '21578': 0.20293959504635015, '23231': 0.19979718392536586, '22986': 0.19964591297103415, '22423': 0.19343750135299723, '20750': 0.19202384316064208, '22303': 0.1902701640241569, '21249': 0.18699343399089993, '22027': 0.18669279555718044, '22050': 0.17984719479905423, '22985': 0.16823164622761327, '21499': 0.16483267673842686, '22710': 0.15540573797716228, '22048': 0.1535737792084878, '22052': 0.1535737792084878}",need attention
12370.0,"{'22817': 0.13363062095621217, '20748': 0.1333333333333333, '22277': 0.13264730648561457, '47574A': 0.13240678533309402, '22813': 0.13040397245529342, '23564': 0.12909944487358055, '20836': 0.12909944487358055, '22635': 0.12712834523274563, '23580': 0.1270001270001905, '22073': 0.1270001270001905, '85230F': 0.1270001270001905, '85062': 0.1261272635503275, '22816': 0.12572371141874245, '47503A': 0.12412427959034776, '85175': 0.1209127083516686, '20702': 0.10767638041163309, '22618': 0.10540925533894598, '72131': 0.10540925533894598, '84568': 0.10540925533894598, '22759': 0.10303257374565543}",promising
12371.0,"{'21165': 0.13793616002983242, '47566B': 0.13721510754924343, '23070': 0.13678822577626598, '72349B': 0.13561270072416207, '23198': 0.13478996693836334, '21069': 0.13470397652008118, '90099': 0.1336306209562122, '21445': 0.1336306209562122, '22912': 0.13018891098082389, '20770': 0.12964074471043288, '21696': 0.12964074471043288, '21054': 0.12598815766974242, '22480': 0.12371791482634838, '21425': 0.11952286093343936, '21630': 0.11952286093343936, '90094': 0.11952286093343936, '22914': 0.11470786693528087, '22757': 0.1143739277494535, '21066': 0.11180339887498948, '85232A': 0.11180339887498948}",promising
12372.0,"{'22431': 0.1768969106762544, '21700': 0.17650452162436564, '20685': 0.1763834207376393, '21890': 0.1760780667742938, '21058': 0.17560081436822506, '22466': 0.17540045351947797, '22650': 0.17376201171422898, '21187': 0.173421993904824, '23255': 0.17327955281803503, '79190B': 0.17099639201419237, '84849A': 0.17099639201419237, '22964': 0.16710088364221676, '22746': 0.1661026492566873, '22756': 0.16516802780306675, '21715': 0.1646308945828745, '22615': 0.16413304107465318, '22992': 0.1620509308880411, '21871': 0.1563858105428061, '20773': 0.15625, '22380': 0.15625}",need attention
12373.0,"{'22352': 0.2728135615342265, '22837': 0.2547390337357861, '21558': 0.2530384498293508, '84032A': 0.2473136089341247, '22834': 0.24535485521000877, '21871': 0.23329882422520504, '21086': 0.22753833383984712, '21094': 0.223276750636136, '84029E': 0.22257871507327406, '22113': 0.21847598363221332, '21877': 0.20952908873087345, '84029G': 0.2080085734580491, '22331': 0.20671410355083852, '22114': 0.19605723255834875, '22951': 0.1943073109501143, '22423': 0.19343750135299723, '20750': 0.19202384316064208, '22303': 0.1902701640241569, '21249': 0.18699343399089993, '22027': 0.18669279555718044}",need attention
12374.0,"{'22693': 0.13368957998001899, '23397': 0.13116516715679058, '23368': 0.13068205256070964, '23571': 0.13068205256070964, '21865': 0.1292719224987548, '20836': 0.12909944487358055, '11001': 0.12856486930664499, '21891': 0.12833175058483634, '22926': 0.12820564851709268, '22667': 0.12794157892978977, '20702': 0.10767638041163309, '47574A': 0.10767638041163309, '21032': 0.10540925533894598, '21846': 0.10540925533894598, '22618': 0.10540925533894598, '84568': 0.10540925533894598, '22759': 0.10303257374565543, '20966': 0.10127393670836665, '22568': 0.1011184892848762}",need attention
12375.0,"{'22629': 0.22322318349938142, '22331': 0.20671410355083852, '21578': 0.20293959504635015, '22630': 0.19465316098168434, '22423': 0.19343750135299723, '22303': 0.1902701640241569, '21249': 0.18699343399089993, '22027': 0.18669279555718044, '22138': 0.17408150931993235, '22432': 0.16894111857387922, '21428': 0.1676199324827048, '21430': 0.16558211295256592, '22077': 0.16465851847048457, '22555': 0.16301981763798298, '47566': 0.15663534844912588, '22617': 0.15632329372617926, '21497': 0.15344315078626938, '20686': 0.15267400734239478, '22747': 0.15172864836217628, '22748': 0.15036782582101038}",need attention
12377.0,"{'22976': 0.14609542606730222, '16235': 0.14447872876615397, '22963': 0.14441770290122824, '20657': 0.14433756729740646, '23058': 0.143345544770249, '35971': 0.13888888888888892, '22224': 0.13725270326150324, '21372': 0.136504726557987, '22592': 0.136504726557987, '22149': 0.13553671408323298, '22273': 0.13530201829834768, '22961': 0.13493507970442145, '22962': 0.13448595689788476, '21784': 0.13076644524148534, '21786': 0.12988108336653278, '21222': 0.1283881477532739, '21708': 0.1283881477532739, '22559': 0.12810252304406972, '22904': 0.1250152615835988, '84012': 0.12326671027227314}",need attention
12378.0,"{'21253': 0.11396057645963795, '23115': 0.11396057645963795, '23499': 0.11396057645963792, '16236': 0.11359236684941297, '22130': 0.11338934190276816, '23475': 0.11180339887498948, '71406C': 0.11180339887498948, '20752': 0.11034745181364908, '23065': 0.11026356928399425, '21063': 0.10910894511799621, '21001': 0.10846522890932808, '21420': 0.10846522890932808, '35599B': 0.10846522890932808, '35599D': 0.10846522890932808, '23571': 0.10830607221477648, '22544': 0.10564428184106459, '85064': 0.10540925533894599, '84709B': 0.10540925533894598, '90160C': 0.10540925533894598, '84509B': 0.09829463743659811}",promising
12379.0,"{'16015': 0.15249857033260464, '85039A': 0.1494035761667992, '21539': 0.14815943949743843, '20982': 0.14792109719230398, '22976': 0.1454016817255763, '21675': 0.14016830300607283, '21936': 0.1399975111774795, '21498': 0.13944333775567927, '22384': 0.1389425035941821, '22557': 0.1382898056896854, '20771': 0.1363988678940947, '20727': 0.13576884666042613, '72225C': 0.13552618543578768, '85040B': 0.13552618543578768, '22759': 0.13354547878703568, '20983': 0.13203565444069848, '21784': 0.13076644524148534, '20685': 0.12749105166233532, '20981': 0.12741179785940637, '20769': 0.1267731382092775}",need attention
12380.0,"{'72799C': 0.1709408646894569, '21155': 0.17087776807205268, '23159': 0.17013926184468015, '21164': 0.16753067798623653, '22545': 0.16724840200141816, '21626': 0.16721592342998826, '22077': 0.16660002475004668, '85178': 0.16643851232744455, '23156': 0.16597653257732306, '22089': 0.1652649186364451, '21485': 0.1651445647689541, '22748': 0.16509883735155553, '84625A': 0.16471728186725412, '16237': 0.16302782918784448, '22435': 0.16283473681973243, '21507': 0.15739281264465077, '21871': 0.15739281264465077, '22632': 0.15720416955902652, '21071': 0.15711079698601163, '23321': 0.15228622596829317}",promising
12381.0,"{'23148': 0.13957263155977065, '21535': 0.13900546422342347, '21217': 0.13898464132279897, '84461': 0.1386750490563073, '23158': 0.1376204706407951, '22194': 0.13608276348795434, '22796': 0.13608276348795434, '90099': 0.13608276348795434, '82011B': 0.13608276348795434, '23347': 0.1336306209562122, '23352': 0.13340746919301402, '23492': 0.13130643285972254, '23523': 0.13130643285972254, '23681': 0.13130643285972254, '23549': 0.12379689211803457, '23228': 0.11744404390294069, '23486': 0.11744404390294069, '23545': 0.11197850219117086, '23351': 0.1107273064716533, '22709': 0.10925355610938446}",promising
12383.0,"{'17012B': 0.1563858105428061, '22609': 0.1554174680400523, '21991': 0.1526406277181659, '17012A': 0.14744195615489714, '23151': 0.14744195615489714, '23568': 0.14744195615489714, '84637': 0.14744195615489714, '90030B': 0.14744195615489714, '10125': 0.14519080172812557, '16048': 0.14350946197048195, '21403': 0.1430397079704303, '22512': 0.14237369936287486, '23514': 0.13678822577626598, '23511': 0.12734290799340264, '22448': 0.12329924047901797, '21289': 0.11624763874381927, '22600': 0.11624763874381927, '23017': 0.11624763874381927, '22865': 0.1131936959941357, '23348': 0.11028219331407116}",promising
12384.0,"{'84968A': 0.14462030521243746, '21427': 0.14433756729740643, '85127': 0.14433756729740643, '21155': 0.14379392104440059, '23049': 0.14356850721551082, '84968C': 0.14344382763731175, '22222': 0.1425310184156894, '22635': 0.1414213562373095, '23050': 0.13957971269072367, '84828': 0.13944333775567927, '47481': 0.1386750490563073, '22859': 0.13693063937629155, '21629': 0.13608276348795434, '23301': 0.13448087738774878, '22517': 0.1338698881504165, '21693': 0.12909944487358055, '72799E': 0.12909944487358055, '62086A': 0.1259881576697424, '84596L': 0.12379689211803457, '21058': 0.12155415958157878}",need attention
12386.0,"{'21420': 0.15811388300841894, '21770': 0.15749984619163157, '84849A': 0.15749984619163154, '22674': 0.15606369730577058, '22685': 0.1546617786679401, '22624': 0.1535255083353141, '21084': 0.15322617553657475, '21700': 0.15322617553657475, '22407': 0.1522773975253762, '23026': 0.1522773975253762, '23149': 0.1522773975253762, '23159': 0.15190124858317955, '22482': 0.15158476564770806, '23148': 0.15091165336763496, '23031': 0.14896989288278098, '21658': 0.14896989288278098, '22429': 0.14680505487867587, '22032': 0.14598929061844593, '23184': 0.14535470484905738, '84429A': 0.14433756729740646}",need attention
12388.0,"{'23211': 0.1430397079704303, '72818': 0.14187608845979144, '23196': 0.14176897172994188, '23265': 0.14011213457945126, '23266': 0.14011213457945126, '23559': 0.13987572123604708, '35954': 0.13987572123604708, '84341B': 0.13987572123604708, '21054': 0.13900960937138318, '23114': 0.1386750490563073, '23160': 0.13608276348795434, '82011B': 0.13608276348795434, '23301': 0.13448087738774878, '23189': 0.1336306209562122, '23367': 0.1315587028960544, '23542': 0.1315587028960544, '23351': 0.12403473458920847, '23435': 0.12403473458920845, '22816': 0.11766968108291043, '23078': 0.11759620640757096}",promising
12390.0,"{'23077': 0.16451245200745984, '22615': 0.16413304107465318, '22992': 0.1620509308880411, '22548': 0.15998258272608307, '23238': 0.15321285325897385, '23372': 0.1516196087157807, '23080': 0.15072142131211605, '22614': 0.15009575487729127, '23309': 0.14687570531423114, '23367': 0.14680505487867587, '22607': 0.14535047493345277, '22899': 0.14497607525854997, '23371': 0.14294833797837264, '22617': 0.1399851273702834, '23350': 0.1399731277389636, '23256': 0.13287276776598395, '23254': 0.1256629214830012, '22409': 0.12456821978060995, '23318': 0.1240729167463663, '21327': 0.12407291674636628}",need attention
12391.0,"{'23349': 0.14414999403128945, '22195': 0.14357683075131603, '15030': 0.14285714285714285, '22587': 0.14261480656245853, '23426': 0.1414213562373095, '23494': 0.1414213562373095, '21012': 0.1386750490563073, '23416': 0.1386750490563073, '23417': 0.1386750490563073, '23539': 0.1386750490563073, '23558': 0.1386750490563073, '20733': 0.13801311186847084, '47593B': 0.13750477455423168, '22080': 0.13678822577626598, '23269': 0.1336306209562122, 'C2': 0.1336306209562122, '23008': 0.13259870882635919, '23081': 0.130066495428618, '85093': 0.12964074471043288, '22638': 0.12598815766974242}",need attention
12393.0,"{'21202': 0.14237369936287486, '22025': 0.14237369936287486, '84030E': 0.14222003099714361, '85049C': 0.14157629008041758, '47593B': 0.14097096860865022, '21671': 0.14043655196504412, '22719': 0.14019992744655632, '22834': 0.13963981453914126, '22747': 0.1395390764128595, '47422': 0.13693063937629157, '85040B': 0.13638618139749525, '22505': 0.1358957080545352, '22755': 0.13470397652008118, '84380': 0.1344265221029072, '21641': 0.1342312110428049, '22251': 0.13300532955644181, '22948': 0.13240678533309402, '22691': 0.12996881122750908, '22285': 0.12951986753290365, '85170D': 0.1289651760438322}",promising
12394.0,"{'23290': 0.18952451089472583, '23292': 0.18946331213195391, '21249': 0.18699343399089993, '22027': 0.18669279555718044, '22745': 0.18588597878141025, '23190': 0.18554306645142182, '22618': 0.18463723646899916, '22138': 0.18397324220155994, '22977': 0.18325550206507987, '22139': 0.1821520820783226, '21556': 0.17884073360395836, '22899': 0.17654696590094998, '21058': 0.17560081436822506, '22466': 0.17540045351947797, '22650': 0.17376201171422898, '22431': 0.1683905802698877, '23010': 0.16712580435934665, '22327': 0.1667593364912675, '22433': 0.16427570345801804, '22243': 0.1641330410746532}",need attention
12395.0,"{'22379': 0.1418190069493499, '35637A': 0.1414213562373095, '16238': 0.14142135623730948, '21936': 0.1399975111774795, '21498': 0.13944333775567927, '21774': 0.13693063937629155, '21899': 0.13693063937629155, '21902': 0.1355815361366601, '72225C': 0.13552618543578768, '85040B': 0.13552618543578768, '21000': 0.13483997249264842, '21662': 0.13483997249264842, '84509C': 0.13483997249264842, '84520B': 0.13483997249264842, '21658': 0.13459547551454137, '22759': 0.13354547878703568, '20983': 0.13203565444069848, '20981': 0.12741179785940637, '20769': 0.1267731382092775}",promising
12397.0,"{'20775': 0.14907119849998596, '22447': 0.14907119849998596, '23021': 0.14907119849998596, '23074': 0.14907119849998596, '23409': 0.14907119849998596, '22890': 0.1480872194397731, '23108': 0.14767960492804932, '79030G': 0.14704292441876154, '22072': 0.14638501094227993, '22063': 0.14509525002200233, '21671': 0.14349920066683503, '21535': 0.1430992737814957, '21668': 0.14098147537004826, '21531': 0.14071375201644498, '22797': 0.13944333775567924, '22426': 0.13844643510697732, '21628': 0.13801311186847082, '21851': 0.13801311186847082, '22687': 0.13801311186847082, '20665': 0.13773231175688955, '22442': 0.13762047064079508, '21672': 0.1372215512369386}",promising
12398.0,"{'22999': 0.14142135623730953, '11001': 0.13997312773896353, '84596B': 0.13963259188111016, '23326': 0.13957263155977065, '47590B': 0.13954746293066697, '23494': 0.1392621247645583, '23557': 0.13608276348795437, '23043': 0.13608276348795434, '23113': 0.13608276348795434, '22610': 0.13518451760896882, '23360': 0.13333333333333333, '22709': 0.13074409009212268, '23000': 0.12935842095105549, '21991': 0.1293016367670472, '85032A': 0.12712834523274563, '23571': 0.1270001270001905, '47504H': 0.109985336266015, '23123': 0.10910894511799621, '22277': 0.10660035817780525, '23245': 0.10562503704960496}",promising
12399.0,"{'84429A': 0.17320508075688773, '21888': 0.17278707098862015, '21061': 0.17232808737106584, '21726': 0.17192047651837583, '21719': 0.17119059581558144, '21698': 0.16903085094570333, '21878': 0.16609095970747992, '79190D': 0.16514456476895412, '21058': 0.16502739940140695, '21062': 0.1649915822768611, '85071D': 0.1636634176769943, '22562': 0.1620509308880411, '22616': 0.1618689296548195, '72780': 0.16116459280507606, '35933': 0.16081688022566923, '85071B': 0.16042223697993696, '22431': 0.15917704399294774, '84828': 0.15791904142730917, '22491': 0.15759377014184453, '22559': 0.15756771943166706}",need attention
12401.0,"{'22961': 0.27885484701864804, '22960': 0.2695879553536306, '85123A': 0.2626442915028093, '21212': 0.25770327481917704, '22666': 0.2521622886886019, '22727': 0.24760172927714008, '20655': 0.1889822365046136, '22752': 0.1884705298173595, '47021G': 0.1863389981249825, '20712': 0.177577848795814, '84580': 0.1732337167958958, '48116': 0.17170739878997723, '22352': 0.17116792644355017, '21427': 0.17010345435994295, '21054': 0.1666666666666667, '22690': 0.1641330410746532, '20617': 0.1634301126151534, '22692': 0.16250281149164794, '22316': 0.16222142113076252, '22946': 0.16222142113076252}",loose them
12402.0,"{'84212': 0.19795031262792234, '20750': 0.19202384316064208, '22303': 0.1902701640241569, '21249': 0.18699343399089993, '22027': 0.18669279555718044, '85206A': 0.18622587440033098, '22148': 0.18580300697695715, '84461': 0.18362925952195544, '22937': 0.18319837290657479, '21195': 0.18257418583505539, '85123A': 0.1812121711328364, '22960': 0.18066589002539934, '85200': 0.18059841095769247, '22722': 0.17981515728339523, '21058': 0.17864740025262416, '22501': 0.17807243465445338, '23194': 0.17116329922036444, '84228': 0.16984155512168936, '21481': 0.1668979876199978, '22432': 0.16632478596477893}",need attention
12403.0,"{'21175': 0.2053827732829458, '22494': 0.20487876571761973, '21239': 0.20323471117426514, '21578': 0.20293959504635015, '22674': 0.20286020648339492, '22382': 0.20241322747124307, '21212': 0.19785764549484527, '22383': 0.1964598972515006, '22630': 0.19465316098168434, '22423': 0.19343750135299723, '20728': 0.19320053039969284, '84849B': 0.192942920472102, '20750': 0.19202384316064208, '22303': 0.1902701640241569, '23300': 0.18976148140349433, '21243': 0.1894338076060206, '84849D': 0.1883108942886774, '21902': 0.18786728732554484, '21249': 0.18699343399089993, '22027': 0.18669279555718044}",need attention
12405.0,"{'20622': 0.15511334686589623, '21557': 0.15511334686589623, '20886': 0.1546617786679401, '16236': 0.1531679162134967, '22531': 0.15075567228888181, '22609': 0.14301938838683884, '23319': 0.13468700594029473, '21633': 0.13363062095621217, '23101': 0.13234444452945734, '23102': 0.13146843962443588, '84949': 0.12858612496840993, '22178': 0.12430020179134485, '21191': 0.12222646627042816, '84946': 0.1217161238900369, '23100': 0.12114063071860515, '22043': 0.11952286093343933, '85062': 0.117966388054349, '84347': 0.11561466260321597, '23499': 0.11396057645963792, '23065': 0.11026356928399425}",promising
